season,week,actual_eliminated,pred_rank_loser,pred_pct_loser,has_elimination,rank_correct,pct_correct,methods_agree
1,2,Trista Sutter,Evander Holyfield,Trista Sutter,True,0,1,0
1,3,Evander Holyfield,Evander Holyfield,Evander Holyfield,True,1,1,1
1,4,Rachel Hunter,Joey McIntyre,Joey McIntyre,True,0,0,1
2,1,Kenny Mayne,Kenny Mayne,Kenny Mayne,True,1,1,1
2,2,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,True,1,1,1
2,3,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez,True,1,1,1
2,4,Master P,Master P,Master P,True,1,1,1
2,5,Tia Carrere,Tia Carrere,Tia Carrere,True,1,1,1
2,6,George Hamilton,George Hamilton,George Hamilton,True,1,1,1
2,7,Lisa Rinna,Jerry Rice,Jerry Rice,True,0,0,1
3,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,True,1,1,1
3,2,Shanna Moakler,Jerry Springer,Shanna Moakler,True,0,1,0
3,3,Harry Hamlin,Emmitt Smith,Harry Hamlin,True,0,1,0
3,4,Vivica A. Fox,Jerry Springer,Vivica A. Fox,True,0,1,0
3,5,Willa Ford,Jerry Springer,Jerry Springer,True,0,0,1
3,7,Jerry Springer,Jerry Springer,Jerry Springer,True,1,1,1
3,8,Monique Coleman,Monique Coleman,Monique Coleman,True,1,1,1
4,2,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova,True,1,1,1
4,3,Shandi Finnessey,Shandi Finnessey,Shandi Finnessey,True,1,1,1
4,4,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,True,1,1,1
4,5,Clyde Drexler,Clyde Drexler,Clyde Drexler,True,1,1,1
4,6,Heather Mills,Heather Mills,Heather Mills,True,1,1,1
4,7,John Ratzenberger,John Ratzenberger,John Ratzenberger,True,1,1,1
4,8,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,True,1,1,1
4,9,Ian Ziering,Ian Ziering,Ian Ziering,True,1,1,1
5,1,Josie Maran,Josie Maran,Josie Maran,True,1,1,1
5,2,Albert Reed,Albert Reed,Albert Reed,True,1,1,1
5,3,Wayne Newton,Wayne Newton,Wayne Newton,True,1,1,1
5,4,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,True,1,1,1
5,5,Mark Cuban,Mark Cuban,Mark Cuban,True,1,1,1
5,6,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,True,1,1,1
5,7,Jane Seymour,Jane Seymour,Jane Seymour,True,1,1,1
5,8,Cameron Mathison,Cameron Mathison,Cameron Mathison,True,1,1,1
5,9,Jennie Garth,Jennie Garth,Jennie Garth,True,1,1,1
6,2,Monica Seles,Monica Seles,Penn Jillette,True,1,0,0
6,3,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,True,1,1,1
6,4,Adam Carolla,Adam Carolla,Adam Carolla,True,1,1,1
6,5,Priscilla Presley,Priscilla Presley,Priscilla Presley,True,1,1,1
6,6,Marlee Matlin,Marlee Matlin,Marlee Matlin,True,1,1,1
6,7,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,True,1,1,1
6,8,Mario,Mario,Mario,True,1,1,1
6,9,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,True,1,1,1
7,1,Jeffrey Ross,Jeffrey Ross,Jeffrey Ross,True,1,1,1
7,2,Kim Kardashian,Kim Kardashian,Kim Kardashian,True,1,1,1
7,4,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,True,1,1,1
7,5,Toni Braxton,Toni Braxton,Toni Braxton,True,1,1,1
7,6,Cloris Leachman,Cloris Leachman,Cloris Leachman,True,1,1,1
7,7,Susan Lucci,Susan Lucci,Susan Lucci,True,1,1,1
7,8,Maurice Greene,Maurice Greene,Maurice Greene,True,1,1,1
7,9,Cody Linley,Cody Linley,Cody Linley,True,1,1,1
8,2,Belinda Carlisle,Steve Wozniak,Steve-O,True,0,0,0
8,3,Denise Richards,Steve Wozniak,Steve Wozniak,True,0,0,1
8,4,Holly Madison,Steve Wozniak,Steve Wozniak,True,0,0,1
8,5,David Alan Grier,Steve-O,Steve-O,True,0,0,1
8,6,Steve-O,Steve-O,Steve-O,True,1,1,1
8,7,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,True,1,1,1
8,8,Chuck Wicks,Chuck Wicks,Chuck Wicks,True,1,1,1
8,9,Lil' Kim,Lil' Kim,Lil' Kim,True,1,1,1
8,10,Ty Murray,Ty Murray,Ty Murray,True,1,1,1
