season,week,actual_eliminated,pred_rank_loser,pred_pct_loser,has_elimination
1,1,,Trista Sutter,Kelly Monaco,False
1,2,Trista Sutter,Evander Holyfield,Trista Sutter,True
1,3,Evander Holyfield,Evander Holyfield,Evander Holyfield,True
1,4,Rachel Hunter,Joey McIntyre,Joey McIntyre,True
1,5,,Joey McIntyre,Joey McIntyre,False
1,6,,John O'Hurley,Kelly Monaco,False
2,1,Kenny Mayne,Kenny Mayne,Kenny Mayne,True
2,2,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,True
2,3,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez,True
2,4,Master P,Master P,Master P,True
2,5,Tia Carrere,Tia Carrere,Tia Carrere,True
2,6,George Hamilton,George Hamilton,George Hamilton,True
2,7,Lisa Rinna,Jerry Rice,Jerry Rice,True
2,8,,Stacy Keibler,Stacy Keibler,False
3,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,True
3,2,Shanna Moakler,Jerry Springer,Shanna Moakler,True
3,3,Harry Hamlin,Emmitt Smith,Harry Hamlin,True
3,4,Vivica A. Fox,Jerry Springer,Vivica A. Fox,True
3,5,Willa Ford,Jerry Springer,Jerry Springer,True
3,6,,Jerry Springer,Jerry Springer,False
3,7,Jerry Springer,Jerry Springer,Jerry Springer,True
3,8,Monique Coleman,Monique Coleman,Monique Coleman,True
3,9,,Emmitt Smith,Emmitt Smith,False
3,10,,Emmitt Smith,Emmitt Smith,False
4,1,,Leeza Gibbons,Leeza Gibbons,False
4,2,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova,True
4,3,Shandi Finnessey,Shandi Finnessey,Shandi Finnessey,True
4,4,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,True
4,5,Clyde Drexler,Clyde Drexler,Clyde Drexler,True
4,6,Heather Mills,Heather Mills,Heather Mills,True
4,7,John Ratzenberger,John Ratzenberger,John Ratzenberger,True
4,8,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,True
4,9,Ian Ziering,Ian Ziering,Ian Ziering,True
4,10,,Laila Ali,Laila Ali,False
5,1,Josie Maran,Josie Maran,Josie Maran,True
5,2,Albert Reed,Albert Reed,Albert Reed,True
5,3,Wayne Newton,Wayne Newton,Wayne Newton,True
5,4,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,True
5,5,Mark Cuban,Mark Cuban,Mark Cuban,True
5,6,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,True
5,7,Jane Seymour,Jane Seymour,Jane Seymour,True
5,8,Cameron Mathison,Cameron Mathison,Cameron Mathison,True
5,9,Jennie Garth,Jennie Garth,Jennie Garth,True
5,10,,Helio Castroneves,Helio Castroneves,False
6,1,,Adam Carolla,Penn Jillette,False
6,2,Monica Seles,Monica Seles,Penn Jillette,True
6,3,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,True
6,4,Adam Carolla,Adam Carolla,Adam Carolla,True
6,5,Priscilla Presley,Priscilla Presley,Priscilla Presley,True
6,6,Marlee Matlin,Marlee Matlin,Marlee Matlin,True
6,7,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,True
6,8,Mario,Mario,Mario,True
6,9,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,True
