Season,Week,Eliminated_RankMode,Eliminated_PctMode,Saved_By_Rank,Saved_By_Pct
1,1,"['Trista Sutter', 'Kelly Monaco']",['Kelly Monaco'],[],['Trista Sutter']
1,2,"['Trista Sutter', 'Evander Holyfield']",['Trista Sutter'],[],['Evander Holyfield']
1,4,"['Joey McIntyre', 'Rachel Hunter']",['Joey McIntyre'],[],['Rachel Hunter']
1,6,"[""John O'Hurley"", 'Kelly Monaco']",['Kelly Monaco'],[],"[""John O'Hurley""]"
2,3,['Jerry Rice'],['Giselle Fernandez'],['Giselle Fernandez'],['Jerry Rice']
2,7,"['Jerry Rice', 'Lisa Rinna']",['Jerry Rice'],[],['Lisa Rinna']
3,2,['Jerry Springer'],['Shanna Moakler'],['Shanna Moakler'],['Jerry Springer']
3,3,"['Emmitt Smith', 'Jerry Springer']",['Harry Hamlin'],['Harry Hamlin'],"['Emmitt Smith', 'Jerry Springer']"
3,4,['Jerry Springer'],['Vivica A. Fox'],['Vivica A. Fox'],['Jerry Springer']
4,2,['Shandi Finnessey'],['Paulina Porizkova'],['Paulina Porizkova'],['Shandi Finnessey']
4,3,['Clyde Drexler'],['Shandi Finnessey'],['Shandi Finnessey'],['Clyde Drexler']
5,2,['Mark Cuban'],['Albert Reed'],['Albert Reed'],['Mark Cuban']
5,10,"['Helio Castroneves', 'Marie Osmond']",['Helio Castroneves'],[],['Marie Osmond']
6,1,"['Penn Jillette', 'Adam Carolla']",['Penn Jillette'],[],['Adam Carolla']
6,2,['Monica Seles'],['Penn Jillette'],['Penn Jillette'],['Monica Seles']
6,3,"['Marissa Jaret Winokur', 'Steve Guttenberg']",['Steve Guttenberg'],[],['Marissa Jaret Winokur']
6,10,"['Jason Taylor', 'Cristian de la Fuente', 'Kristi Yamaguchi']",['Kristi Yamaguchi'],[],"['Jason Taylor', 'Cristian de la Fuente']"
7,3,['Rocco DiSpirito'],['Cloris Leachman'],['Cloris Leachman'],['Rocco DiSpirito']
7,7,"['Susan Lucci', 'Warren Sapp']",['Susan Lucci'],[],['Warren Sapp']
7,10,"['Brooke Burke', 'Warren Sapp']",['Brooke Burke'],[],['Warren Sapp']
8,8,"['Melissa Rycroft', 'Chuck Wicks']",['Chuck Wicks'],[],['Melissa Rycroft']
9,3,['Tom DeLay'],['Debi Mazar'],['Debi Mazar'],['Tom DeLay']
9,6,"['Louie Vito', 'Melissa Joan Hart']",['Louie Vito'],[],['Melissa Joan Hart']
9,7,"['Mark Dacascos', 'Michael Irvin']",['Mark Dacascos'],[],['Michael Irvin']
9,9,"['Donny Osmond', 'Joanna Krupa', 'Kelly Osbourne']",['Joanna Krupa'],[],"['Donny Osmond', 'Kelly Osbourne']"
10,10,"['Erin Andrews', 'Evan Lysacek']",['Erin Andrews'],[],['Evan Lysacek']
11,6,['Bristol Palin'],['Kurt Warner'],['Kurt Warner'],['Bristol Palin']
11,7,['Bristol Palin'],['Rick Fox'],['Rick Fox'],['Bristol Palin']
11,8,"['Bristol Palin', 'Kurt Warner']",['Kurt Warner'],[],['Bristol Palin']
11,9,"['Bristol Palin', 'Brandy']",['Brandy'],[],['Bristol Palin']
12,10,"['Hines Ward', 'Kirstie Alley']",['Hines Ward'],[],['Kirstie Alley']
13,4,"['Carson Kressley', 'Chynna Phillips']",['Chynna Phillips'],[],['Carson Kressley']
13,7,"['Nancy Grace', 'David Arquette']",['David Arquette'],[],['Nancy Grace']
13,10,['Ricki Lake'],['Rob Kardashian'],['Rob Kardashian'],['Ricki Lake']
14,1,"['Maria Menounos', 'Martina Navratilova']",['Maria Menounos'],[],['Martina Navratilova']
14,9,['Donald Driver'],['Maria Menounos'],['Maria Menounos'],['Donald Driver']
15,3,['Bristol Palin'],['Helio Castroneves'],['Helio Castroneves'],['Bristol Palin']
15,5,['Emmitt Smith'],['Kelly Monaco'],['Kelly Monaco'],['Emmitt Smith']
15,6,['Emmitt Smith'],['Sabrina Bryan'],['Sabrina Bryan'],['Emmitt Smith']
15,7,['Apolo Anton Ohno'],['Kirstie Alley'],['Kirstie Alley'],['Apolo Anton Ohno']
