Factor,Judge_Coef,Judge_Pval,Fan_Coef,Fan_Pval
Age,-0.02595042717891787,0.001489808197870832,-0.02881488766158206,0.017275841219243106
C(Industry)[T.Athlete],0.22599851274152766,0.0036388884913803477,0.23688035620907086,0.03992912517998978
C(Industry)[T.Con artist],-0.17950798378275432,0.20728385948123673,-0.2580991928915501,0.23328426302810543
C(Industry)[T.Singer/Rapper],0.024203868201063794,0.8056374338231669,0.04168169150831807,0.7808272261421054
C(Industry)[T.TV Personality],0.8493055296189663,3.065987221061647e-08,0.05844333686723803,0.7610426052386434
C(Partner)[T.Ezra Sosa],-0.17950798378275412,0.20728385948123784,-0.25809919289155014,0.23328426302810595
C(Partner)[T.Keo Motsepe],0.2787097277264004,0.022342757490552204,0.3150944482928577,0.08549177616981558
C(Partner)[T.Mark Ballas],0.22599851274152644,0.003638888491380487,0.23688035620907147,0.03992912517998915
C(Partner)[T.Rylee Arnold],0.024203868201063673,0.8056374338231679,0.0416816915083183,0.7808272261421043
C(Partner)[T.Valentin Chmerkovskiy],0.4540194261771862,0.007416857907817616,0.4346973443922293,0.08411806007752533
