Season,Week,Name,industry,Judge_Score,vote_share,Fan_Share,uncertainty,Is_Eliminated,eliminated_week,Rank_Judge,Rank_Fan,Rank_Sum,Final_Place_RankMethod,Eliminated_By_Rank,Pct_Judge,Pct_Fan,Pct_Total,Final_Place_PctMethod,Eliminated_By_Pct
1,1,Evander Holyfield,Athlete,18.0,0.1763,0.17442614,0.05,0,3,4.0,4.0,8.0,4.0,0,16.51376146788991,17.442614523278436,33.95637599116834,3.0,0
1,1,Joey McIntyre,Singer/Rapper,20.0,0.1871,0.18234164,0.05,0,99,1.0,1.0,2.0,1.0,0,18.34862385321101,18.234164547024935,36.58278840023594,1.0,0
1,1,John O'Hurley,Actor/Actress,20.0,0.1787,0.17836984,0.05,0,99,1.0,2.0,3.0,2.0,0,18.34862385321101,17.836984535109536,36.185608388320546,2.0,0
1,1,Kelly Monaco,Actor/Actress,13.0,0.1774,0.17771636,0.05,0,99,6.0,3.0,9.0,5.0,1,11.926605504587156,17.771636533149092,29.69824203773625,6.0,1
1,1,Rachel Hunter,Model,20.0,0.1043,0.12299475,0.05,0,4,1.0,6.0,7.0,3.0,0,18.34862385321101,12.29947536898426,30.64809922219527,5.0,0
1,1,Trista Sutter,TV Personality,18.0,0.1763,0.16415124,0.05,0,2,4.0,5.0,9.0,5.0,1,16.51376146788991,16.415124492453735,32.92888596034365,4.0,0
1,2,Evander Holyfield,Athlete,14.0,0.1724,0.17316692,0.05,0,3,6.0,4.0,10.0,5.0,1,11.570247933884298,17.316691134165445,28.88693906804974,5.0,0
1,2,Joey McIntyre,Singer/Rapper,21.0,0.1875,0.1890674,0.05,0,99,3.0,3.0,6.0,2.0,0,17.355371900826448,18.90673905466305,36.2621109554895,2.0,0
1,2,John O'Hurley,Actor/Actress,26.0,0.1819,0.19276886,0.05,0,99,1.0,1.0,2.0,1.0,0,21.487603305785125,19.27688503615575,40.764488341940876,1.0,0
1,2,Kelly Monaco,Actor/Actress,17.0,0.1848,0.19185993,0.05,0,99,5.0,2.0,7.0,3.0,0,14.049586776859504,19.185992040700402,33.235578817559905,4.0,0
1,2,Rachel Hunter,Model,24.0,0.1724,0.14959681,0.05,0,4,2.0,5.0,7.0,3.0,0,19.834710743801654,14.959680252015989,34.79439099581764,3.0,0
1,2,Trista Sutter,TV Personality,19.0,0.1011,0.10354013,0.08,1,2,4.0,6.0,10.0,5.0,1,15.702479338842975,10.354012482299376,26.05649182114235,6.0,1
1,3,Evander Holyfield,Athlete,13.0,0.1359,0.13577077,0.08,1,3,5.0,5.0,10.0,5.0,1,12.264150943396226,13.577076049604678,25.8412269930009,5.0,1
1,3,Joey McIntyre,Singer/Rapper,22.0,0.2207,0.21911637,0.05,0,99,3.0,2.0,5.0,2.0,0,20.754716981132077,21.911635466185515,42.66635244731759,3.0,0
1,3,John O'Hurley,Actor/Actress,24.0,0.2145,0.21934286,0.05,0,99,2.0,1.0,3.0,1.0,0,22.641509433962266,21.934284464600086,44.57579389856235,2.0,0
