season,week,celebrity_name,judge_score_total,vote_share_hat,Z_Judge,Z_Fan,Composite_Score,Is_Eliminated,Is_Bottom2
29,1,AJ McLean,18.0,0.07395937,0.21442250696755935,0.7020537173069732,0.4582381121372663,0,0
29,2,AJ McLean,19.0,0.07458077,0.3730019232961258,0.6061379882291745,0.48956995576265017,0,0
29,3,AJ McLean,21.0,0.08011549,0.2707339233939956,0.5836656017898232,0.4271997625919094,0,0
29,4,AJ McLean,24.0,0.08604673,0.4076871241636058,0.5701290130887499,0.48890806862617786,0,0
29,5,AJ McLean,24.0,0.09068877,0.027512727580439485,0.4710705483985881,0.2492916379895138,0,0
29,6,AJ McLean,27.0,0.10054739,0.8859764474561831,0.5452631150981697,0.7156197812771764,0,0
29,7,AJ McLean,26.0,0.10916772,0.0,0.5370768023532079,0.26853840117660394,0,0
29,8,AJ McLean,27.0,0.13706295,-0.37836988356339707,0.5773598326263798,0.09949497453149136,0,0
29,9,AJ McLean,24.9998,0.081123866,-1.0256723821803082,-2.258193905317108,-1.641933143748708,0,1
9,1,Aaron Carter,31.9999,0.0665028,1.2435319211626288,0.46285311560862874,0.8531925183856288,0,0
9,2,Aaron Carter,27.0,0.07971988,1.9427283774081996,0.9306514921244918,1.4366899347663458,0,0
9,3,Aaron Carter,21.0,0.083746515,0.2981767567952604,0.7442107725316913,0.5211937646634759,0,0
9,4,Aaron Carter,18.0,0.09935888,-0.8728715609439696,0.7499668781013822,-0.06145234142129369,0,0
9,5,Aaron Carter,24.0,0.10804804,-0.08046626711787273,0.7356836472069033,0.32760869004451526,0,0
9,6,Aaron Carter,32.9998,0.1224844,0.8045149205545523,0.8539513854709766,0.8292331530127645,0,0
9,7,Aaron Carter,26.5,0.15446915,0.6968739820248332,0.6719083672412434,0.6843911746330382,0,0
9,8,Aaron Carter,25.0,0.17091154,-0.6346630624175338,-1.5539040708305019,-1.0942835666240178,1,1
6,1,Adam Carolla,15.0,0.07119654,-1.358635495988127,-1.4798655862776953,-1.4192505411329113,1,1
6,2,Adam Carolla,19.0,0.07843298,-0.5741014008103684,-0.39047992027655953,-0.482290660543464,0,0
6,3,Adam Carolla,21.0,0.09348839,-0.6880237084407949,-0.6541054698675002,-0.6710645891541476,0,1
6,4,Adam Carolla,19.0,0.07960112,-1.7888543819998317,-2.593275384858896,-2.191064883429364,1,1
