epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.149,0.75407,1.423,1.04925,0.98607,0.96448,0.96165,0.79807,0.67595,0.74321,0.96911,0.00332502,0.00332502,0.00332502
2,353.816,0.56039,0.5964,0.92925,0.98456,0.9611,0.96487,0.77026,0.74197,0.49175,1.0231,0.00663638,0.00663638,0.00663638
3,503.682,0.55248,0.43305,0.94398,0.98677,0.96058,0.96418,0.77694,0.72975,0.48193,1.06624,0.00992574,0.00992574,0.00992574
4,654.999,0.49637,0.36129,0.93671,0.99581,0.96421,0.96723,0.90646,0.38649,0.27101,0.88979,0.009901,0.009901,0.009901
5,802.325,0.42515,0.30069,0.91125,0.99634,0.96548,0.9682,0.93483,0.32198,0.21618,0.86864,0.009868,0.009868,0.009868
6,949.409,0.38845,0.27031,0.90025,0.98523,0.9634,0.97004,0.93145,0.35723,0.21939,0.90535,0.009835,0.009835,0.009835
7,1099.59,0.3639,0.25133,0.89162,0.98977,0.96477,0.97144,0.95196,0.29031,0.18416,0.86832,0.009802,0.009802,0.009802
8,1248.55,0.33964,0.23831,0.88016,0.98969,0.96532,0.97497,0.96705,0.24481,0.17175,0.84881,0.009769,0.009769,0.009769
9,1396.65,0.32374,0.22699,0.87639,0.99203,0.96516,0.9667,0.96053,0.23881,0.17984,0.85397,0.009736,0.009736,0.009736
10,1544.45,0.30967,0.21967,0.87051,0.99201,0.96465,0.97181,0.96684,0.22759,0.15231,0.8481,0.009703,0.009703,0.009703
11,1694.57,0.2983,0.21444,0.86719,0.98188,0.9639,0.97053,0.96777,0.21184,0.1545,0.85329,0.00967,0.00967,0.00967
12,1841.93,0.29092,0.21014,0.86253,0.99149,0.96327,0.97247,0.96999,0.20149,0.1405,0.84357,0.009637,0.009637,0.009637
13,1990.18,0.28378,0.204,0.86171,0.98729,0.96732,0.97306,0.96278,0.23336,0.14558,0.85225,0.009604,0.009604,0.009604
14,2140.37,0.27863,0.20169,0.85774,0.99655,0.96347,0.97113,0.96922,0.19311,0.13798,0.84047,0.009571,0.009571,0.009571
15,2287.6,0.27116,0.19783,0.85465,0.99666,0.96313,0.97575,0.97368,0.18278,0.1268,0.83855,0.009538,0.009538,0.009538
16,2435.62,0.26301,0.19654,0.85236,0.99425,0.96641,0.98021,0.97814,0.18165,0.12574,0.83742,0.009505,0.009505,0.009505
17,2585.32,0.26553,0.19502,0.85348,0.99611,0.96316,0.97316,0.97189,0.17922,0.12416,0.82962,0.009472,0.009472,0.009472
18,2732.52,0.25914,0.18998,0.85128,0.99939,0.96483,0.97532,0.97374,0.17066,0.11798,0.83435,0.009439,0.009439,0.009439
19,2881.49,0.25475,0.18798,0.85169,0.99407,0.96506,0.98096,0.97911,0.17119,0.11991,0.83749,0.009406,0.009406,0.009406
20,3031.06,0.24942,0.18434,0.84716,0.99977,0.96346,0.97343,0.9722,0.1586,0.11008,0.83007,0.009373,0.009373,0.009373
21,3178.35,0.24684,0.18164,0.84769,0.9954,0.96554,0.97966,0.97787,0.15981,0.10927,0.83203,0.00934,0.00934,0.00934
22,3327.11,0.24676,0.18211,0.84712,0.98716,0.96476,0.98225,0.98041,0.16171,0.11043,0.82826,0.009307,0.009307,0.009307
23,3476.03,0.24294,0.17874,0.84423,0.99906,0.96454,0.97914,0.97758,0.15147,0.10497,0.82837,0.009274,0.009274,0.009274
24,3623.59,0.24067,0.17818,0.84594,0.99723,0.96325,0.97391,0.97272,0.15138,0.10571,0.83136,0.009241,0.009241,0.009241
25,3772.66,0.23764,0.17558,0.84433,0.9943,0.96492,0.97737,0.97586,0.14333,0.10271,0.82978,0.009208,0.009208,0.009208
26,3920.58,0.23691,0.17572,0.84428,0.99909,0.96337,0.97965,0.97797,0.14097,0.10087,0.833,0.009175,0.009175,0.009175
27,4068.12,0.2328,0.17363,0.84158,0.99344,0.96242,0.97599,0.9746,0.14062,0.10172,0.83022,0.009142,0.009142,0.009142
28,4217.2,0.22955,0.17112,0.84095,0.99218,0.96362,0.97625,0.97484,0.13912,0.10014,0.82908,0.009109,0.009109,0.009109
29,4364.38,0.22869,0.17194,0.84202,0.99799,0.96237,0.97703,0.97558,0.13688,0.09789,0.8318,0.009076,0.009076,0.009076
30,4512.43,0.22277,0.16738,0.8387,0.99724,0.96265,0.97435,0.97309,0.13549,0.09672,0.83107,0.009043,0.009043,0.009043
31,4661.73,0.22341,0.16967,0.83648,0.99556,0.96308,0.97518,0.97385,0.13365,0.09675,0.82784,0.00901,0.00901,0.00901
32,4808.81,0.22467,0.17004,0.83632,0.99777,0.9633,0.97471,0.9734,0.13321,0.09661,0.82787,0.008977,0.008977,0.008977
33,4957.95,0.2228,0.16931,0.83625,0.99575,0.96412,0.97679,0.97533,0.13229,0.09563,0.82905,0.008944,0.008944,0.008944
34,5109.8,0.2214,0.16776,0.8376,0.99496,0.96406,0.97516,0.97384,0.13154,0.09457,0.82937,0.008911,0.008911,0.008911
35,5257.16,0.22015,0.16785,0.83632,0.99676,0.96377,0.97627,0.97486,0.13042,0.09411,0.82866,0.008878,0.008878,0.008878
36,5405.6,0.21577,0.16391,0.83409,0.99653,0.96355,0.97778,0.97625,0.12874,0.09295,0.82833,0.008845,0.008845,0.008845
