epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.649,0.90233,1.68824,1.12355,0.99987,1,0.995,0.84131,0.62273,0.661,0.92711,0.00332502,0.00332502,0.00332502
2,296.218,0.57479,0.80488,0.90955,0.99994,1,0.995,0.86869,0.54053,0.45702,0.89807,0.00663638,0.00663638,0.00663638
3,444.018,0.54465,0.56395,0.90315,0.99035,0.99121,0.99496,0.79757,0.76102,0.45185,1.08105,0.00992574,0.00992574,0.00992574
4,586.011,0.48341,0.36028,0.88508,0.99959,0.99985,0.995,0.92185,0.37937,0.23413,0.83719,0.009901,0.009901,0.009901
5,731.47,0.40239,0.27852,0.8542,0.99578,0.99713,0.995,0.91356,0.40193,0.27935,0.86117,0.009868,0.009868,0.009868
6,876.2,0.36172,0.24721,0.84206,0.99998,1,0.995,0.97683,0.24724,0.17216,0.78844,0.009835,0.009835,0.009835
7,1021.35,0.34011,0.22972,0.83414,0.99996,1,0.995,0.98018,0.24206,0.15111,0.7869,0.009802,0.009802,0.009802
8,1166.3,0.32157,0.21791,0.82979,0.99999,1,0.995,0.98675,0.21241,0.13903,0.78052,0.009769,0.009769,0.009769
9,1309.75,0.30602,0.2079,0.82416,0.99998,1,0.995,0.98877,0.2119,0.13682,0.7779,0.009736,0.009736,0.009736
10,1453.19,0.2952,0.20175,0.82108,0.99999,1,0.995,0.99125,0.19839,0.13378,0.77582,0.009703,0.009703,0.009703
11,1596.23,0.28685,0.19381,0.81857,0.99998,1,0.995,0.99306,0.18036,0.12055,0.77304,0.00967,0.00967,0.00967
12,1738.92,0.28135,0.19099,0.81754,0.99998,1,0.995,0.99307,0.18276,0.11789,0.77303,0.009637,0.009637,0.009637
13,1881.81,0.27489,0.18528,0.8148,0.99998,1,0.995,0.99356,0.17537,0.11799,0.77344,0.009604,0.009604,0.009604
14,2024.21,0.26869,0.1842,0.81476,0.99999,1,0.995,0.99453,0.15783,0.10697,0.76958,0.009571,0.009571,0.009571
15,2166.48,0.26431,0.18187,0.81372,0.99998,1,0.995,0.9943,0.15671,0.11421,0.76873,0.009538,0.009538,0.009538
16,2308.65,0.25935,0.17879,0.81127,0.99999,1,0.995,0.99429,0.15944,0.10551,0.76965,0.009505,0.009505,0.009505
17,2450.84,0.25668,0.17567,0.80935,0.99999,1,0.995,0.99489,0.14237,0.09988,0.76779,0.009472,0.009472,0.009472
18,2593.28,0.25259,0.17283,0.80957,0.99999,1,0.995,0.99491,0.13806,0.09464,0.76645,0.009439,0.009439,0.009439
19,2736.26,0.248,0.16981,0.80901,0.99999,1,0.995,0.99494,0.13657,0.09384,0.76611,0.009406,0.009406,0.009406
20,2879.12,0.24836,0.17043,0.80834,0.99999,1,0.995,0.99496,0.13298,0.0915,0.76591,0.009373,0.009373,0.009373
21,3021.75,0.2444,0.16884,0.80782,0.99999,1,0.995,0.99497,0.13033,0.09229,0.76481,0.00934,0.00934,0.00934
22,3163.98,0.24078,0.16544,0.80768,0.99999,1,0.995,0.99494,0.12742,0.08872,0.766,0.009307,0.009307,0.009307
23,3306.2,0.23789,0.16764,0.80616,0.99999,1,0.995,0.99494,0.12238,0.08607,0.76402,0.009274,0.009274,0.009274
24,3448.37,0.23713,0.16373,0.80555,0.99999,1,0.995,0.99495,0.12302,0.08445,0.76401,0.009241,0.009241,0.009241
25,3590.58,0.23688,0.1649,0.80638,0.99999,1,0.995,0.99496,0.12103,0.08588,0.76369,0.009208,0.009208,0.009208
26,3733.68,0.23259,0.16171,0.80505,0.99999,1,0.995,0.99498,0.11778,0.0819,0.76311,0.009175,0.009175,0.009175
27,3875.96,0.23133,0.16012,0.8044,0.99999,1,0.995,0.99498,0.11703,0.08111,0.76291,0.009142,0.009142,0.009142
28,4018.13,0.23617,0.16247,0.80692,0.99999,1,0.995,0.99497,0.1171,0.08282,0.76314,0.009109,0.009109,0.009109
29,4161.37,0.23176,0.16066,0.80566,0.99999,1,0.995,0.99497,0.11526,0.07907,0.76324,0.009076,0.009076,0.009076
30,4304.24,0.22904,0.1582,0.80409,0.99999,1,0.995,0.99497,0.11474,0.07816,0.76269,0.009043,0.009043,0.009043
31,4446.42,0.22597,0.15766,0.80158,0.99999,1,0.995,0.99497,0.11374,0.07844,0.76226,0.00901,0.00901,0.00901
32,4588.68,0.22661,0.15647,0.80297,0.99999,1,0.995,0.99499,0.11288,0.0775,0.762,0.008977,0.008977,0.008977
33,4731.28,0.22695,0.15589,0.80207,0.99999,1,0.995,0.99498,0.11225,0.07691,0.76185,0.008944,0.008944,0.008944
34,4873.53,0.22848,0.15898,0.80325,0.99999,1,0.995,0.99496,0.11234,0.07684,0.76216,0.008911,0.008911,0.008911
35,5016.22,0.22284,0.1547,0.80268,0.99999,1,0.995,0.99498,0.11113,0.07614,0.76186,0.008878,0.008878,0.008878
36,5159.34,0.22286,0.15618,0.80159,0.99999,1,0.995,0.99497,0.11041,0.0757,0.76189,0.008845,0.008845,0.008845
37,5302.45,0.21997,0.15445,0.80176,0.99999,1,0.995,0.99498,0.10956,0.07533,0.76163,0.008812,0.008812,0.008812
38,5444.54,0.21936,0.15377,0.80039,0.99999,1,0.995,0.99499,0.10886,0.07665,0.7616,0.008779,0.008779,0.008779
39,5586.88,0.22412,0.15454,0.8011,0.99999,1,0.995,0.99498,0.10855,0.07663,0.76161,0.008746,0.008746,0.008746
40,5729.25,0.21893,0.15166,0.80141,0.99999,1,0.995,0.99499,0.10822,0.0756,0.76134,0.008713,0.008713,0.008713
41,5871.53,0.21515,0.15179,0.80117,0.99999,1,0.995,0.99498,0.10768,0.07532,0.76117,0.00868,0.00868,0.00868
