epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.112,0.81769,1.58361,0.9849,0.99472,0.99892,0.99444,0.88342,0.48551,0.64501,0.82892,0.00332502,0.00332502,0.00332502
2,306.692,0.6004,0.8348,0.87773,0.99565,0.99404,0.99478,0.84936,0.58221,0.45821,0.87534,0.00663638,0.00663638,0.00663638
3,452.534,0.58049,0.57951,0.87998,0.99646,0.99441,0.99495,0.85092,0.57802,0.38835,0.89804,0.00992574,0.00992574,0.00992574
4,597.841,0.51872,0.37255,0.86663,0.99889,0.99834,0.995,0.90725,0.4366,0.25956,0.83519,0.009901,0.009901,0.009901
5,744.685,0.44969,0.29586,0.84751,0.9988,0.99899,0.995,0.93313,0.36067,0.22014,0.81209,0.009868,0.009868,0.009868
6,887.058,0.41366,0.26548,0.83729,0.99868,0.99945,0.99483,0.95944,0.29595,0.19628,0.79289,0.009835,0.009835,0.009835
7,1030.12,0.38775,0.24733,0.83052,0.9997,0.99954,0.995,0.96203,0.30244,0.1836,0.79285,0.009802,0.009802,0.009802
8,1172.82,0.37163,0.23596,0.82597,0.99986,0.99972,0.995,0.96964,0.27621,0.16837,0.78802,0.009769,0.009769,0.009769
9,1317.16,0.35507,0.22535,0.82185,0.99981,0.99972,0.995,0.97278,0.26991,0.16487,0.78906,0.009736,0.009736,0.009736
10,1461.34,0.3421,0.21763,0.81813,0.99987,0.99991,0.995,0.98155,0.23656,0.14822,0.77827,0.009703,0.009703,0.009703
11,1604.4,0.33471,0.21337,0.8158,0.99948,0.99991,0.995,0.98374,0.22806,0.14157,0.77703,0.00967,0.00967,0.00967
12,1747.93,0.32379,0.20744,0.81319,0.99987,0.99972,0.995,0.98767,0.20994,0.13504,0.77365,0.009637,0.009637,0.009637
13,1890.3,0.31679,0.20382,0.81203,0.99989,0.99982,0.995,0.98531,0.2199,0.13518,0.77464,0.009604,0.009604,0.009604
14,2034.17,0.31192,0.20048,0.81159,0.99996,0.99991,0.995,0.98777,0.20772,0.13112,0.77488,0.009571,0.009571,0.009571
15,2176.68,0.30419,0.19612,0.80934,0.99983,0.99982,0.995,0.9911,0.18972,0.12154,0.77071,0.009538,0.009538,0.009538
16,2319.71,0.29964,0.19444,0.80907,0.99995,0.99982,0.995,0.99065,0.19032,0.12426,0.77206,0.009505,0.009505,0.009505
17,2463.25,0.29753,0.19156,0.80844,0.99992,0.99972,0.995,0.99299,0.17602,0.11524,0.76938,0.009472,0.009472,0.009472
18,2605.75,0.29416,0.1895,0.80775,0.99998,0.99991,0.995,0.99324,0.16924,0.11505,0.76823,0.009439,0.009439,0.009439
19,2748.66,0.28702,0.18835,0.80416,0.9998,0.99972,0.995,0.99375,0.1682,0.10911,0.76589,0.009406,0.009406,0.009406
20,2892.56,0.2861,0.1853,0.80611,0.99981,0.99982,0.995,0.99432,0.15668,0.10633,0.76506,0.009373,0.009373,0.009373
21,3034.77,0.27874,0.18278,0.80525,0.99997,0.99982,0.995,0.99374,0.16476,0.10836,0.76685,0.00934,0.00934,0.00934
22,3177.66,0.27919,0.18211,0.80318,0.99998,0.99991,0.995,0.99429,0.15157,0.10156,0.7636,0.009307,0.009307,0.009307
23,3321.57,0.27479,0.17978,0.80217,0.99997,0.99991,0.995,0.99453,0.15388,0.10228,0.76476,0.009274,0.009274,0.009274
24,3463.88,0.27161,0.17949,0.80225,0.99998,0.99991,0.995,0.99477,0.14355,0.09896,0.76301,0.009241,0.009241,0.009241
25,3606.43,0.269,0.17677,0.8006,0.99998,0.9999,0.995,0.9947,0.14662,0.09795,0.76313,0.009208,0.009208,0.009208
26,3750.22,0.26676,0.17595,0.80181,0.99998,0.99991,0.995,0.99472,0.14781,0.09836,0.76354,0.009175,0.009175,0.009175
27,3892.45,0.26539,0.1755,0.80164,0.99998,0.99991,0.995,0.99474,0.14476,0.09672,0.76357,0.009142,0.009142,0.009142
28,4035.04,0.26134,0.17335,0.8001,0.99999,0.99991,0.995,0.99476,0.13958,0.09419,0.76323,0.009109,0.009109,0.009109
29,4178.89,0.2638,0.17508,0.8016,0.99999,0.99991,0.995,0.99481,0.14128,0.0957,0.76301,0.009076,0.009076,0.009076
30,4321.4,0.25769,0.17204,0.79948,0.99998,0.99991,0.995,0.99488,0.13677,0.0932,0.76229,0.009043,0.009043,0.009043
31,4463.92,0.25854,0.17229,0.79918,0.99998,0.99991,0.995,0.9949,0.13385,0.09155,0.76223,0.00901,0.00901,0.00901
32,4607.75,0.25756,0.1704,0.7987,0.99998,0.99991,0.995,0.99482,0.1355,0.09079,0.76211,0.008977,0.008977,0.008977
33,4750.03,0.25628,0.17025,0.79956,0.99998,0.99991,0.995,0.99479,0.13372,0.09014,0.76189,0.008944,0.008944,0.008944
34,4892.61,0.25287,0.16977,0.79907,0.99998,0.99991,0.995,0.99472,0.13508,0.09032,0.76174,0.008911,0.008911,0.008911
35,5036.61,0.24926,0.16585,0.79825,0.99998,0.99991,0.995,0.99468,0.13437,0.09059,0.76184,0.008878,0.008878,0.008878
36,5180.87,0.2486,0.16604,0.7978,0.99998,0.99991,0.995,0.99474,0.13286,0.0894,0.76174,0.008845,0.008845,0.008845
37,5323.08,0.25047,0.16701,0.79899,0.99998,0.99991,0.995,0.99474,0.13159,0.0884,0.76178,0.008812,0.008812,0.008812
38,5465.72,0.24807,0.16588,0.79819,0.99998,0.99991,0.995,0.99474,0.12948,0.08801,0.76142,0.008779,0.008779,0.008779
39,5609.62,0.24614,0.16486,0.79822,0.99998,0.99991,0.995,0.99475,0.12907,0.0878,0.76129,0.008746,0.008746,0.008746
40,5751.98,0.24524,0.1643,0.79753,0.99998,0.99991,0.995,0.99478,0.12795,0.08718,0.76113,0.008713,0.008713,0.008713
41,5894.6,0.24319,0.16391,0.79828,0.99998,0.99991,0.995,0.99482,0.12552,0.08649,0.76078,0.00868,0.00868,0.00868
42,6038.44,0.24111,0.16321,0.79853,0.99997,0.99991,0.995,0.99481,0.1246,0.08639,0.76057,0.008647,0.008647,0.008647
43,6180.68,0.24085,0.16162,0.79715,0.99997,0.99991,0.995,0.99484,0.12405,0.08581,0.76053,0.008614,0.008614,0.008614
44,6323.56,0.23853,0.16087,0.79649,0.99997,0.99991,0.995,0.99486,0.12338,0.08562,0.76039,0.008581,0.008581,0.008581
45,6467.45,0.23802,0.1602,0.79716,0.99997,0.99991,0.995,0.99485,0.12332,0.08539,0.76022,0.008548,0.008548,0.008548
46,6609.74,0.23514,0.15947,0.79716,0.99998,0.99991,0.995,0.99482,0.12273,0.08517,0.76008,0.008515,0.008515,0.008515
47,6752.36,0.23442,0.15911,0.79627,0.99997,0.99991,0.995,0.99486,0.12225,0.08506,0.76008,0.008482,0.008482,0.008482
48,6896.13,0.233,0.15847,0.79549,0.99997,0.99991,0.995,0.99488,0.122,0.08519,0.76012,0.008449,0.008449,0.008449
49,7038.44,0.23316,0.15871,0.79596,0.99997,0.99991,0.995,0.99486,0.12177,0.08487,0.76016,0.008416,0.008416,0.008416
50,7181.02,0.23119,0.1585,0.79505,0.99997,0.99991,0.995,0.99486,0.12149,0.08455,0.76019,0.008383,0.008383,0.008383
51,7325.03,0.23009,0.15687,0.79344,0.99997,0.99991,0.995,0.99484,0.12095,0.0843,0.76009,0.00835,0.00835,0.00835
52,7467.29,0.2303,0.15744,0.79528,0.99997,0.99991,0.995,0.99483,0.1208,0.08392,0.76014,0.008317,0.008317,0.008317
53,7609.99,0.23042,0.15682,0.79306,0.99997,0.99991,0.995,0.99484,0.12006,0.08372,0.76005,0.008284,0.008284,0.008284
54,7753.54,0.22893,0.15677,0.79523,0.99997,0.99991,0.995,0.99484,0.1197,0.08362,0.76001,0.008251,0.008251,0.008251
55,7895.82,0.2258,0.15414,0.79296,0.99997,0.99991,0.995,0.99483,0.11937,0.08353,0.75993,0.008218,0.008218,0.008218
56,8038.34,0.22374,0.15361,0.79299,0.99997,0.99991,0.995,0.99484,0.11925,0.08317,0.75992,0.008185,0.008185,0.008185
57,8182.33,0.22528,0.1543,0.7937,0.99997,0.99991,0.995,0.99485,0.11925,0.08322,0.75989,0.008152,0.008152,0.008152
58,8324.97,0.22333,0.15466,0.79394,0.99997,0.99991,0.995,0.99486,0.11914,0.08335,0.7599,0.008119,0.008119,0.008119
59,8467.65,0.2226,0.15365,0.79274,0.99997,0.99991,0.995,0.99488,0.11919,0.08352,0.75986,0.008086,0.008086,0.008086
60,8611.05,0.219,0.15289,0.79327,0.99997,0.99991,0.995,0.99484,0.11909,0.0835,0.75985,0.008053,0.008053,0.008053
